           Index,   Azimuth [deg], Elevation [deg], Weight [kWh/m2],      Weight [%]
               1,         118.950,           0.000,          13.809,           0.495
               2,         134.563,          15.895,         138.170,           4.950
               3,         154.982,          27.391,          85.335,           3.057
               4,        -180.000,          31.733,         115.669,           4.144
               5,        -154.982,          27.391,          82.656,           2.961
               6,        -134.563,          15.895,          59.193,           2.121
               7,        -118.950,           0.000,         -14.840,          -0.532
               8,          90.000,           0.000,          71.445,           2.559
               9,         103.322,          18.300,         223.744,           8.015
              10,         119.755,          35.463,         183.662,           6.580
              11,         144.074,          49.291,         238.210,           8.534
              12,        -180.000,          55.133,         208.905,           7.484
              13,        -144.074,          49.291,         206.881,           7.411
              14,        -119.755,          35.463,         153.238,           5.490
              15,        -103.322,          18.300,          86.124,           3.085
              16,         -90.000,           0.000,          14.085,           0.505
              17,          61.050,           0.000,          18.364,           0.658
              18,          72.447,          16.204,         118.460,           4.244
              19,          83.103,          33.427,          85.313,           3.056
              20,          95.268,          51.039,         140.841,           5.045
              21,         115.743,          68.063,         110.639,           3.964
              22,        -180.000,          78.533,         124.732,           4.468
              23,        -115.743,          68.063,         111.400,           3.991
              24,         -95.268,          51.039,         112.150,           4.018
              25,         -83.103,          33.427,          82.545,           2.957
              26,         -72.447,          16.204,          21.495,           0.770
              27,         -61.050,           0.000,          -0.800,          -0.029
