Name,Position [m],Focus [m],Slope [mrad],Variant
A01,-11.64 18. 4.783,25,1.34,RFS
A02,-8.5707 18. 4.783,25,1.12,RF
A03,-5.5438 18. 4.783,25,1.58,RB
A04,-2.7285 18. 4.783,25,1.2,RB
A05,0.00231 18. 4.783,25,1.32,RB
A06,2.7331 18. 4.783,25,1.14,LB
A07,5.5908 18. 4.783,25,1.36,LB
A08,8.5331 18. 4.783,25,1.44,LF
A09,11.56 18. 4.783,25,1.32,LF
B01,-14 21.25 5.883,33,0.84,RFS
B02,-10.8885 21.25 5.883,25,1.42,RFS
B03,-7.8615 21.25 5.883,25,1.5,RF
B04,-4.9615 21.25 5.883,25,1.42,RB
B05,-2.1885 21.25 5.883,25,1.35,RB
B06,0.5423 21.25 5.883,25,1.91,LB
B07,3.2731 21.25 5.883,25,1.41,LB
B08,6.0461 21.25 5.883,25,1.46,LB
B09,8.9461 21.25 5.883,25,1.6,LF
B10,11.9731 21.25 5.883,25,1.46,LFS
B11,15.0846 21.25 5.883,33,1.01,LFS
C01,-15.68 26 6.783,33,0.93,RFS
C02,-12.1877 26 6.783,33,0.92,RF
C03,-8.8646 26 6.783,33,0.97,RF
C04,-5.7108 26 6.783,33,0.96,RB
C05,-2.5992 26 6.783,33,0.94,RB
C06,0.3431 26 6.783,33,0.99,LB
C07,3.2854 26 6.783,33,0.92,LB
C08,6.3123 26 6.783,33,0.88,LB
C09,9.5085 26 6.783,33,0.85,LF
C10,12.8315 26 6.783,33,0.88,LF
C11,16.2392 26 6.783,33,0.95,LFS
D01,-16.1 30.9 7.983,33,1.17,RFS
D02,-12.6077 30.9 7.983,33,1.02,RF
D03,-9.2 30.9 7.983,33,0.98,RF
D04,-6.0038 30.9 7.983,33,1.06,RB
D05,-2.9346 30.9 7.983,33,0.79,RB
D06,0.09231 30.9 7.983,33,0.89,RB
D07,3.0769 30.9 7.983,33,0.95,LB
D08,6.1461 30.9 7.983,33,1.25,LB
D09,9.3423 30.9 7.983,33,0.99,LF
D10,12.6654 30.9 7.983,33,0.95,LF
D11,16.1154 30.9 7.983,33,1.07,LFS
E01,-11.5 41.5 8.683,45,0.83,RF
E02,-8.08 41.5 8.683,45,0.92,RB
E03,-4.6846 41.5 8.683,45,0.77,RB
E04,-1.5307 41.5 8.683,45,0.78,RB
E05,1.5385 41.5 8.683,45,0.66,LB
E06,4.7769 41.5 8.683,45,0.75,LB
E07,8.0877 41.5 8.683,45,0.77,LB
E08,11.5077 41.5 8.683,45,0.74,LF
