Sampling of sun path,,,,,
,,,,,
Location: Pentakomo (Cyprus),,,,,
Latitude: 34.707 deg,,,,,
Longitude: 33.261 deg,,,,,
,,,,,
Resolution: 15.000 deg,,,,,
Nodes: 52,,,,,
,,,,,
Weight: DNI model of Ineichen (2008),,,,,
,,,,,
Index, Azimuth (deg), Elevation (deg), Function (W/m2), Weight (%), Weight (kWh/m2)
1,118.934,0,0,0.473,13.258
2,127.796,9.962,385.587,0.723,20.268
3,138.167,18.694,560.846,2.555,71.58
4,150.416,25.669,648.782,0.598,16.761
5,164.571,30.249,692.56,3.51,98.34
6,180,31.858,705.989,0.397,11.112
7,195.429,30.249,692.56,3.51,98.341
8,209.584,25.669,648.782,0.598,16.761
9,221.833,18.694,560.846,2.555,71.58
10,232.204,9.962,385.587,0.723,20.268
11,241.066,0,0,0.473,13.258
12,99.517,0,0,-0.404,-11.324
13,107.838,11.248,418.589,1.287,36.057
14,117.215,21.946,605.719,1.734,48.598
15,128.449,31.685,704.591,1.63,45.685
16,142.463,39.829,761.106,3.504,98.193
17,159.892,45.443,790.946,0.909,25.465
18,180,47.481,800.323,4.269,119.606
19,200.108,45.443,790.946,0.909,25.465
20,217.537,39.829,761.106,3.504,98.193
21,231.551,31.685,704.591,1.63,45.685
22,242.785,21.946,605.719,1.734,48.598
23,252.162,11.248,418.589,1.287,36.056
24,260.483,0,0,-0.404,-11.324
25,80.483,0,0,0.463,12.963
26,89.449,13.015,458.962,2.458,68.885
27,98.885,26.045,652.724,2.176,60.971
28,110.062,38.7,754.302,3.996,111.971
29,125.137,50.305,812.183,2.19,61.353
30,147.771,59.389,842.695,4.588,128.551
31,180,63.105,852.275,2.187,61.275
32,212.229,59.389,842.695,4.588,128.551
33,234.863,50.305,812.183,2.19,61.353
34,249.938,38.7,754.302,3.996,111.971
35,261.115,26.045,652.724,2.176,60.971
36,270.551,13.015,458.962,2.458,68.885
37,279.517,0,0,0.463,12.963
38,61.066,0,0,0.017,0.466
39,69.311,11.453,423.547,1.205,33.776
40,76.93,23.524,624.925,1.527,42.785
41,84.542,35.97,736.577,2.808,78.676
42,93.081,48.577,805.075,1.518,42.522
43,104.62,61.041,847.143,3.755,105.213
44,126.05,72.515,870.184,1.326,37.141
45,180,78.728,877.54,4.059,113.721
46,233.95,72.515,870.184,1.326,37.141
47,255.38,61.041,847.143,3.755,105.213
48,266.919,48.577,805.075,1.518,42.522
49,275.458,35.97,736.577,2.808,78.676
50,283.07,23.524,624.925,1.527,42.785
51,290.689,11.453,423.547,1.205,33.776
52,298.934,0,0,0.017,0.466
